Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)
22:28:03,6.8,71.7,92.7,0.98828125,0.3828125
22:28:04,9.6,71.7,92.7,6.6474609375,0.73046875
22:28:05,6.9,71.7,92.7,1.041015625,1.12890625
22:28:06,4.3,71.7,92.7,5.06640625,0.546875
22:28:07,7.8,71.7,92.7,0.654296875,1.671875
22:28:08,7.1,71.7,92.7,13.1396484375,1.14453125
22:28:09,9.0,71.7,92.7,0.10546875,0.4072265625
22:28:10,18.2,71.7,92.7,22.26171875,2.6298828125
22:28:11,9.3,71.7,92.7,3.8642578125,2.015625
22:28:12,8.4,71.7,92.7,6.4853515625,0.291015625
22:28:13,6.8,71.7,92.7,0.90625,0.2939453125
22:28:14,8.3,71.7,92.7,4.966796875,1.0439453125
22:28:16,7.2,71.6,92.7,17.5947265625,3.0439453125
22:28:17,24.0,71.9,92.7,6.1220703125,1.4140625
22:28:18,6.3,71.9,92.7,0.943359375,1.0390625
22:28:19,11.7,71.9,92.7,4.7431640625,0.205078125
22:28:20,19.6,71.9,92.7,0.443359375,0.923828125
22:28:21,18.4,71.1,92.7,30.8837890625,2.37890625
22:28:22,14.1,71.2,92.7,11.5615234375,12.0126953125
22:28:23,6.1,71.3,92.7,7.6513671875,0.7900390625
22:28:24,4.6,71.2,92.7,21.6083984375,1.08984375
22:28:25,7.1,71.2,92.7,5.060546875,0.9521484375
22:28:26,11.8,71.2,92.7,3.6123046875,1.8330078125
22:28:28,9.5,71.2,92.7,20.22265625,1.8857421875
22:28:29,4.3,71.2,92.7,2.4638671875,1.9697265625
22:28:30,6.4,71.2,92.7,4.673828125,0.162109375
22:28:31,15.7,71.2,92.7,0.3759765625,0.9580078125
22:28:32,11.0,71.2,92.7,10.869140625,1.9111328125
22:28:33,7.4,71.2,92.7,2.724609375,1.6591796875
22:28:34,12.6,71.0,92.7,27.4482421875,2.6748046875
22:28:35,8.7,71.0,92.7,0.0,0.0
22:28:36,20.2,71.4,92.7,29.5615234375,10.517578125
22:28:37,13.6,71.3,92.7,2.5595703125,1.8984375
22:28:38,7.1,71.3,92.7,4.7978515625,0.1591796875
22:28:39,9.4,71.3,92.7,8.9990234375,1.6240234375
22:28:41,6.6,71.3,92.7,5.5732421875,1.5419921875
22:28:42,7.1,71.3,92.7,8.3359375,2.3212890625
22:28:43,5.2,71.3,92.7,14.115234375,1.298828125
22:28:44,7.4,71.3,92.7,1.611328125,3.9091796875
22:28:45,6.6,71.3,92.7,5.1572265625,2.6142578125
22:28:46,3.2,71.3,92.7,0.4140625,1.7734375
22:28:47,4.0,71.3,92.7,5.2802734375,1.390625
22:28:48,6.8,71.3,92.7,0.20703125,0.7255859375
22:28:49,8.9,71.3,92.7,4.6708984375,0.1337890625
22:28:50,4.3,71.3,92.7,0.125,0.830078125
22:28:51,1.1,71.1,92.7,4.6708984375,0.05859375
22:28:52,4.0,71.1,92.7,0.0869140625,0.419921875
22:28:54,5.0,71.1,92.7,4.7880859375,0.5205078125
22:28:55,4.6,71.1,92.7,0.20703125,0.73828125
22:28:56,4.3,71.1,92.7,7.7802734375,2.3310546875
22:28:57,3.9,71.1,92.7,0.0,0.05859375
22:28:58,5.0,71.1,92.7,4.6708984375,0.29296875
22:28:59,4.6,71.1,92.7,0.6533203125,0.9443359375
22:29:00,5.4,71.1,92.7,11.984375,2.5439453125
22:29:01,5.2,71.2,92.7,10.220703125,21.5517578125
22:29:02,1.1,71.1,92.7,4.6708984375,0.0
22:29:03,9.8,71.1,92.7,9.0380859375,2.044921875
22:29:04,13.2,71.3,92.7,21.7041015625,449.62890625
22:29:05,20.8,71.6,92.7,22.2392578125,195.8896484375
22:29:06,7.7,71.6,92.7,29.30859375,5.62109375
22:29:08,1.2,71.6,92.7,0.4609375,0.9794921875
22:29:09,21.8,71.9,92.7,9.79296875,1.876953125
22:29:10,7.5,71.8,92.7,9.669921875,2.0478515625
22:29:11,8.2,71.9,92.7,6.15625,1.216796875
22:29:12,6.8,71.9,92.7,1.6923828125,1.3642578125
22:29:13,3.1,71.9,92.7,4.7431640625,0.2802734375
22:29:14,5.9,71.9,92.7,0.275390625,1.244140625
22:29:15,6.4,71.8,92.7,5.2861328125,0.5703125
22:29:16,9.1,71.8,92.7,20.2685546875,21.083984375
22:29:17,7.1,71.8,92.7,6.26171875,1.1142578125
22:29:18,7.0,71.8,92.7,0.802734375,0.6923828125
22:29:20,6.0,71.8,92.7,6.0361328125,0.865234375
22:29:21,7.6,71.7,92.7,0.919921875,1.1591796875
22:29:22,8.3,71.7,92.7,5.2939453125,0.833984375
22:29:23,7.3,71.7,92.7,0.166015625,0.9482421875
22:29:24,7.1,71.7,92.7,7.96484375,0.376953125
22:29:25,11.5,71.6,92.7,0.779296875,2.8291015625
22:29:26,4.4,71.7,92.7,13.2861328125,0.5849609375
22:29:27,8.2,71.7,92.7,0.7685546875,1.619140625
22:29:28,9.1,71.6,92.7,9.84765625,1.0126953125
22:29:29,1.9,71.7,92.7,15.6865234375,0.9677734375
